number,name,status
429,PEP 429 – Python 3.4 Release Schedule,Unknown
398,PEP 398 – Python 3.3 Release Schedule,Unknown
404,PEP 404 – Python 2.8 Un-release Schedule,Unknown
392,PEP 392 – Python 3.2 Release Schedule,Unknown
375,PEP 375 – Python 3.1 Release Schedule,Unknown
385,PEP 385 – Migrating from Subversion to Mercurial,Unknown
374,PEP 374 – Choosing a distributed VCS for the Python project,Unknown
373,PEP 373 – Python 2.7 Release Schedule,Unknown
361,PEP 361 – Python 2.6 and 3.0 Release Schedule,Unknown
360,PEP 360 – Externally Maintained Packages,Unknown
356,PEP 356 – Python 2.5 Release Schedule,Unknown
320,PEP 320 – Python 2.4 Release Schedule,Unknown
347,PEP 347 – Migrating the Python CVS to Subversion,Unknown
251,PEP 251 – Python 2.2 Release Schedule,Unknown
283,PEP 283 – Python 2.3 Release Schedule,Unknown
200,PEP 200 – Python 2.0 Release Schedule,Unknown
226,PEP 226 – Python 2.1 Release Schedule,Unknown
6,PEP 6 – Bug Fix Releases,Unknown
160,PEP 160 – Python 1.6 Release Schedule,Unknown
5,PEP 5 – Guidelines for Language Evolution,Unknown
3156,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,Unknown
3155,PEP 3155 – Qualified name for classes and functions,Unknown
3149,PEP 3149 – ABI version tagged .so files,Unknown
3148,PEP 3148 – futures - execute computations asynchronously,Unknown
3154,PEP 3154 – Pickle protocol version 4,Unknown
3147,PEP 3147 – PYC Repository Directories,Unknown
3127,PEP 3127 – Integer Literal Support and Syntax,Unknown
3144,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,Unknown
3129,PEP 3129 – Class Decorators,Unknown
3123,PEP 3123 – Making PyObject_HEAD conform to standard C,Unknown
3119,PEP 3119 – Introducing Abstract Base Classes,Unknown
3120,PEP 3120 – Using UTF-8 as the default source encoding,Unknown
3121,PEP 3121 – Extension Module Initialization and Finalization,Unknown
3118,PEP 3118 – Revising the buffer protocol,Unknown
3116,PEP 3116 – New I/O,Unknown
